,type,price,square_meter,location,rooms,link,created,fetched
81,Lejlighed,12960,96,"København, Robert Jacobsens Vej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-3-vaer-id-5268483,23 timer siden,2022-03-31
82,Lejlighed,12255,86,"København, Else Alfelts Vej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/86m2-3-vaer-id-5268481,23 timer siden,2022-03-31
83,Værelse,4500,25,"København, Italiensvej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/25m2-1-vaer-id-4901127,23 timer siden,2022-03-31
84,Lejlighed,13495,95,"København, Ørestads Boulevard",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/95m2-4-vaer-id-5244804,I går,2022-03-31
85,Lejlighed,13495,96,"København, Ørestads Boulevard",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-4-vaer-id-5268473,I går,2022-03-31
86,Lejlighed,13594,96,"København, Ørestads Boulevard",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-4-vaer-id-5268472,I går,2022-03-31
87,Lejlighed,12495,83,"København, Ørestads Boulevard",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/83m2-3-vaer-id-5268471,I går,2022-03-31
88,Lejlighed,16700,119,"København, Skindergade",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/119m2-3-vaer-id-4623823,I går,2022-03-31
89,Værelse,4100,17,"København, Emdrupvej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/17m2-1-vaer-id-5268323,I går,2022-03-31
90,Lejlighed,19995,136,"Rødovre, Nørregårdsbakken",5,www.boligportal.dk/lejligheder/r%C3%B8dovre/136m2-5-vaer-id-5267019,22. marts,2022-03-31
91,Lejlighed,17495,146,"Rødovre, Nørregårdsbakken",4,www.boligportal.dk/lejligheder/r%C3%B8dovre/146m2-4-vaer-id-5261554,23. februar,2022-03-31
92,Lejlighed,13800,88,"Søborg, Buddinge Hovedgade",3,www.boligportal.dk/lejligheder/s%C3%B8borg/88m2-3-vaer-id-5201072,3. marts,2022-03-31
93,Lejlighed,24500,191,"Hellerup, Gersonsvej",6,www.boligportal.dk/lejligheder/hellerup/191m2-6-vaer-id-5258482,8. februar,2022-03-31
94,Rækkehus,16995,150,"Rødovre, Nørregårdsbakken",4,www.boligportal.dk/r%C3%A6kkehuse/r%C3%B8dovre/150m2-4-vaer-id-5239317,8. november,2022-03-31
95,Lejlighed,6995,39,"Vanløse, Godthåbsvej",1,www.boligportal.dk/lejligheder/vanl%C3%B8se/39m2-1-vaer-id-5261843,24. februar,2022-03-31
